-------------------------------------------------------------------------------------------- benchmark: 163 tests --------------------------------------------------------------------------------------------
Name (time in ms)                  Min                    Max                   Mean              StdDev                 Median                 IQR            Outliers      OPS            Rounds  Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
test_CY[16]                     5.2477 (1.08)         46.0971 (2.66)         14.8245 (1.29)       5.9168 (2.76)         13.6021 (1.29)       2.9827 (2.59)        13;12  67.4560 (0.78)         92           1
test_CY[17]                     5.6208 (1.16)         19.2210 (1.11)         13.9414 (1.21)       2.3268 (1.09)         13.6648 (1.29)       1.7275 (1.50)          7;4  71.7287 (0.83)         39           1
test_CY[18]                     5.1909 (1.07)         27.8048 (1.61)         13.0515 (1.13)       5.2524 (2.45)         12.5487 (1.19)       6.6493 (5.77)         16;1  76.6197 (0.88)         53           1
test_CY[19]                    10.2276 (2.11)         34.2788 (1.98)         15.0868 (1.31)       3.9014 (1.82)         14.0017 (1.33)       2.6554 (2.31)          6;3  66.2832 (0.76)         61           1
test_CY[20]                     9.8237 (2.03)         34.2289 (1.98)         15.5146 (1.35)       4.6755 (2.18)         14.0107 (1.33)       4.2331 (3.68)         12;4  64.4556 (0.74)         75           1
test_CY[21]                     8.2907 (1.71)         30.8115 (1.78)         16.3338 (1.42)       3.7551 (1.75)         14.9574 (1.42)       2.5255 (2.19)         11;8  61.2229 (0.71)         69           1
test_CY[22]                     8.7058 (1.80)         32.0009 (1.85)         16.1782 (1.40)       3.8098 (1.78)         15.7657 (1.49)       4.1474 (3.60)         14;3  61.8114 (0.71)         75           1
test_CY[23]                     8.7840 (1.81)         36.8513 (2.13)         17.1113 (1.48)       4.1923 (1.96)         17.1208 (1.62)       2.7399 (2.38)          7;6  58.4410 (0.67)         60           1
test_CY[24]                    14.9388 (3.09)         35.3826 (2.04)         21.5399 (1.87)       3.5330 (1.65)         20.8351 (1.97)       1.8814 (1.63)          8;8  46.4254 (0.54)         46           1
test_CY[25]                    25.4537 (5.26)         42.3015 (2.44)         33.0242 (2.86)       4.1809 (1.95)         33.1261 (3.14)       4.9544 (4.30)          8;0  30.2808 (0.35)         27           1
test_CY[4]                      5.4505 (1.13)         37.9701 (2.19)         14.0730 (1.22)       5.5479 (2.59)         13.4857 (1.28)       5.0673 (4.40)          7;2  71.0581 (0.82)         51           1
test_CY[5]                      9.3283 (1.93)         20.9082 (1.21)         14.4842 (1.26)       2.9233 (1.37)         14.0362 (1.33)       4.1474 (3.60)         22;0  69.0409 (0.80)         58           1
test_CY[6]                      5.0002 (1.03)         35.2043 (2.03)         13.6002 (1.18)       4.6461 (2.17)         13.5288 (1.28)       4.5115 (3.92)         18;2  73.5282 (0.85)         89           1
test_CY[7]                      5.2765 (1.09)         25.0367 (1.45)         14.6203 (1.27)       3.9520 (1.85)         13.8127 (1.31)       4.3861 (3.81)         21;5  68.3980 (0.79)         92           1
test_CY[8]                      7.7909 (1.61)         34.4420 (1.99)         15.6964 (1.36)       4.7003 (2.20)         15.4479 (1.46)       3.5604 (3.09)         12;8  63.7090 (0.73)         72           1
test_CY[9]                      7.3818 (1.52)         33.0209 (1.91)         15.8069 (1.37)       4.4882 (2.10)         14.5877 (1.38)       3.3261 (2.89)         14;8  63.2634 (0.73)         75           1
test_H[10]                      9.6205 (1.99)         20.4659 (1.18)         14.1536 (1.23)       2.1414 (1.0)          13.7643 (1.30)       2.0434 (1.77)         24;3  70.6532 (0.81)         72           1
test_H[11]                      9.2651 (1.91)         43.9737 (2.54)         14.5016 (1.26)       4.5471 (2.12)         13.5993 (1.29)       4.1790 (3.63)         12;2  68.9579 (0.79)         75           1
test_H[12]                      7.1438 (1.48)         24.9379 (1.44)         14.5642 (1.26)       3.0609 (1.43)         13.7595 (1.30)       2.9195 (2.54)         27;7  68.6616 (0.79)        105           1
test_H[13]                      5.0565 (1.04)         27.5886 (1.59)         13.8583 (1.20)       3.8340 (1.79)         13.4284 (1.27)       3.8718 (3.36)         16;7  72.1589 (0.83)         72           1
test_H[14]                     11.0397 (2.28)         50.1069 (2.89)         15.7624 (1.37)       6.0870 (2.84)         14.0526 (1.33)       2.6744 (2.32)          3;5  63.4421 (0.73)         59           1
test_H[15]                      9.3818 (1.94)         44.4394 (2.57)         14.7725 (1.28)       4.5733 (2.14)         13.7521 (1.30)       3.7109 (3.22)         10;3  67.6933 (0.78)         76           1
test_H[16]                      5.1117 (1.06)         28.9205 (1.67)         14.0100 (1.22)       4.0682 (1.90)         13.6077 (1.29)       4.6501 (4.04)         15;3  71.3776 (0.82)         73           1
test_H[17]                      9.3504 (1.93)         28.4556 (1.64)         14.9357 (1.30)       3.4625 (1.62)         13.9194 (1.32)       2.9594 (2.57)         18;5  66.9536 (0.77)         74           1
test_H[18]                      9.6756 (2.00)         17.3134 (1.0)          13.5731 (1.18)       2.2064 (1.03)         13.6837 (1.30)       4.3066 (3.74)         12;0  73.6753 (0.85)         34           1
test_H[19]                      5.2633 (1.09)         22.1924 (1.28)         14.2520 (1.24)       2.9609 (1.38)         13.8088 (1.31)       4.4339 (3.85)         18;0  70.1655 (0.81)         74           1
